"","time","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1",2012-10-28 00:05:00,1.11,1.111,1.103,1.097,1.096,1.126,1.103,1.119,1.106,1.12,1.114,1.115,1.114,1.101,1.106,1.113,1.113,1.111,1.106,1.119,1.125
"2",2012-10-28 00:15:00,1.091,1.092,1.084,1.078,1.079,1.109,1.084,1.099,1.087,1.101,1.097,1.096,1.095,1.08,1.082,1.094,1.095,1.093,1.087,1.1,1.107
"3",2012-10-28 00:25:00,1.065,1.068,1.059,1.052,1.053,1.084,1.057,1.073,1.06,1.075,1.073,1.069,1.068,1.052,1.055,1.067,1.071,1.065,1.062,1.072,1.082
"4",2012-10-28 00:35:00,1.032,1.035,1.026,1.019,1.022,1.052,1.022,1.041,1.025,1.04,1.039,1.037,1.034,1.02,1.021,1.032,1.039,1.031,1.028,1.039,1.049
"5",2012-10-28 00:45:00,0.992,0.997,0.986,0.98,0.984,1.011,0.981,1.003,0.984,1,1,0.998,0.996,0.983,0.981,0.992,1,0.992,0.988,1,1.009
"6",2012-10-28 00:55:00,0.949,0.955,0.943,0.939,0.943,0.97,0.936,0.959,0.94,0.956,0.957,0.953,0.952,0.942,0.937,0.949,0.96,0.949,0.944,0.959,0.966
"7",2012-10-28 01:05:00,0.904,0.909,0.898,0.892,0.899,0.925,0.889,0.912,0.894,0.909,0.913,0.906,0.905,0.896,0.89,0.903,0.918,0.903,0.897,0.913,0.919
"8",2012-10-28 01:15:00,0.854,0.859,0.848,0.843,0.851,0.873,0.837,0.86,0.843,0.86,0.864,0.857,0.853,0.845,0.843,0.852,0.871,0.853,0.849,0.863,0.868
"9",2012-10-28 01:25:00,0.802,0.805,0.796,0.79,0.798,0.819,0.782,0.807,0.789,0.807,0.812,0.805,0.8,0.795,0.792,0.798,0.819,0.801,0.799,0.81,0.814
"10",2012-10-28 01:35:00,0.75,0.755,0.746,0.74,0.745,0.763,0.732,0.754,0.736,0.754,0.759,0.752,0.749,0.747,0.739,0.745,0.769,0.75,0.747,0.758,0.758
"11",2012-10-28 01:45:00,0.698,0.702,0.698,0.69,0.695,0.712,0.681,0.702,0.682,0.702,0.707,0.7,0.697,0.697,0.689,0.694,0.72,0.699,0.695,0.708,0.705
"12",2012-10-28 01:55:00,0.645,0.646,0.647,0.638,0.642,0.657,0.627,0.647,0.627,0.65,0.655,0.647,0.642,0.646,0.637,0.639,0.669,0.646,0.641,0.656,0.649
"13",2012-10-28 02:05:00,0.589,0.589,0.595,0.584,0.588,0.601,0.571,0.59,0.572,0.596,0.602,0.591,0.588,0.593,0.583,0.582,0.615,0.593,0.587,0.599,0.592
"14",2012-10-28 02:15:00,0.533,0.531,0.543,0.528,0.533,0.545,0.515,0.534,0.514,0.542,0.547,0.535,0.533,0.541,0.528,0.526,0.56,0.538,0.531,0.542,0.533
"15",2012-10-28 02:25:00,0.477,0.473,0.49,0.475,0.478,0.488,0.461,0.478,0.456,0.489,0.49,0.481,0.479,0.488,0.472,0.47,0.505,0.483,0.474,0.486,0.475
"16",2012-10-28 02:35:00,0.422,0.415,0.437,0.421,0.425,0.431,0.406,0.423,0.398,0.435,0.434,0.428,0.423,0.434,0.419,0.415,0.448,0.427,0.418,0.43,0.417
"17",2012-10-28 02:45:00,0.363,0.354,0.378,0.36,0.368,0.369,0.347,0.364,0.337,0.378,0.376,0.371,0.363,0.378,0.361,0.356,0.388,0.367,0.358,0.37,0.356
"18",2012-10-28 02:55:00,0.303,0.293,0.319,0.3,0.309,0.307,0.288,0.305,0.275,0.321,0.316,0.312,0.303,0.321,0.3,0.296,0.326,0.308,0.298,0.308,0.295
"19",2012-10-28 03:05:00,0.242,0.231,0.258,0.239,0.248,0.244,0.225,0.247,0.211,0.261,0.255,0.252,0.242,0.263,0.24,0.235,0.262,0.248,0.237,0.246,0.231
"20",2012-10-28 03:15:00,0.185,0.17,0.202,0.179,0.19,0.183,0.166,0.19,0.152,0.206,0.197,0.196,0.183,0.209,0.182,0.176,0.201,0.191,0.176,0.189,0.172
"21",2012-10-28 03:25:00,0.13,0.113,0.147,0.122,0.135,0.126,0.111,0.135,0.096,0.154,0.14,0.141,0.127,0.155,0.127,0.122,0.144,0.137,0.119,0.134,0.114
"22",2012-10-28 03:35:00,0.077,0.06,0.094,0.067,0.082,0.07,0.058,0.083,0.04,0.103,0.086,0.089,0.072,0.102,0.073,0.071,0.088,0.085,0.066,0.081,0.059
"23",2012-10-28 03:45:00,0.028,0.011,0.047,0.017,0.034,0.019,0.011,0.037,-0.009,0.058,0.037,0.042,0.02,0.055,0.024,0.024,0.036,0.037,0.018,0.036,0.011
"24",2012-10-28 03:55:00,-0.015,-0.032,0.006,-0.027,-0.009,-0.026,-0.031,-0.005,-0.051,0.018,-0.006,0.001,-0.024,0.014,-0.019,-0.018,-0.01,-0.003,-0.025,-0.006,-0.034
"25",2012-10-28 04:05:00,-0.056,-0.072,-0.034,-0.069,-0.051,-0.068,-0.07,-0.045,-0.091,-0.021,-0.048,-0.038,-0.064,-0.025,-0.06,-0.057,-0.054,-0.041,-0.066,-0.045,-0.076
"26",2012-10-28 04:15:00,-0.092,-0.108,-0.069,-0.106,-0.089,-0.105,-0.105,-0.081,-0.126,-0.055,-0.086,-0.074,-0.101,-0.061,-0.096,-0.094,-0.093,-0.076,-0.103,-0.079,-0.113
"27",2012-10-28 04:25:00,-0.127,-0.142,-0.104,-0.142,-0.124,-0.139,-0.138,-0.118,-0.159,-0.089,-0.12,-0.108,-0.136,-0.096,-0.132,-0.126,-0.13,-0.109,-0.138,-0.111,-0.146
"28",2012-10-28 04:35:00,-0.159,-0.171,-0.137,-0.175,-0.155,-0.172,-0.166,-0.15,-0.19,-0.118,-0.152,-0.14,-0.169,-0.129,-0.165,-0.157,-0.164,-0.14,-0.169,-0.138,-0.177
"29",2012-10-28 04:45:00,-0.187,-0.197,-0.166,-0.203,-0.183,-0.2,-0.191,-0.177,-0.216,-0.144,-0.179,-0.166,-0.198,-0.158,-0.192,-0.184,-0.195,-0.166,-0.196,-0.163,-0.203
"30",2012-10-28 04:55:00,-0.21,-0.221,-0.192,-0.231,-0.209,-0.224,-0.212,-0.201,-0.239,-0.169,-0.202,-0.188,-0.22,-0.181,-0.216,-0.208,-0.222,-0.189,-0.22,-0.185,-0.228
"31",2012-10-28 05:05:00,-0.233,-0.245,-0.219,-0.257,-0.234,-0.247,-0.232,-0.226,-0.261,-0.193,-0.227,-0.21,-0.244,-0.207,-0.241,-0.231,-0.249,-0.212,-0.243,-0.205,-0.252
"32",2012-10-28 05:15:00,-0.253,-0.263,-0.24,-0.277,-0.254,-0.267,-0.249,-0.247,-0.279,-0.214,-0.247,-0.23,-0.266,-0.228,-0.263,-0.25,-0.271,-0.232,-0.261,-0.222,-0.27
"33",2012-10-28 05:25:00,-0.269,-0.275,-0.256,-0.293,-0.269,-0.28,-0.262,-0.265,-0.292,-0.229,-0.261,-0.247,-0.283,-0.246,-0.278,-0.264,-0.288,-0.248,-0.275,-0.234,-0.282
"34",2012-10-28 05:35:00,-0.277,-0.282,-0.265,-0.302,-0.278,-0.286,-0.267,-0.275,-0.298,-0.239,-0.269,-0.256,-0.294,-0.256,-0.285,-0.271,-0.296,-0.256,-0.282,-0.239,-0.288
"35",2012-10-28 05:45:00,-0.279,-0.285,-0.269,-0.307,-0.283,-0.29,-0.266,-0.28,-0.299,-0.245,-0.272,-0.258,-0.297,-0.259,-0.288,-0.275,-0.302,-0.257,-0.285,-0.243,-0.29
"36",2012-10-28 05:55:00,-0.277,-0.283,-0.268,-0.305,-0.283,-0.287,-0.26,-0.281,-0.296,-0.247,-0.272,-0.256,-0.292,-0.258,-0.287,-0.274,-0.302,-0.254,-0.283,-0.24,-0.288
"37",2012-10-28 06:05:00,-0.269,-0.272,-0.258,-0.295,-0.274,-0.276,-0.248,-0.276,-0.285,-0.242,-0.265,-0.25,-0.284,-0.253,-0.279,-0.264,-0.293,-0.245,-0.273,-0.23,-0.277
"38",2012-10-28 06:15:00,-0.252,-0.252,-0.239,-0.275,-0.256,-0.258,-0.227,-0.262,-0.266,-0.228,-0.251,-0.235,-0.269,-0.24,-0.262,-0.245,-0.274,-0.228,-0.254,-0.211,-0.257
"39",2012-10-28 06:25:00,-0.224,-0.219,-0.208,-0.243,-0.227,-0.227,-0.195,-0.236,-0.235,-0.202,-0.224,-0.209,-0.242,-0.214,-0.233,-0.215,-0.243,-0.2,-0.222,-0.181,-0.225
"40",2012-10-28 06:35:00,-0.187,-0.181,-0.17,-0.203,-0.189,-0.187,-0.154,-0.2,-0.195,-0.171,-0.187,-0.172,-0.204,-0.176,-0.193,-0.178,-0.205,-0.161,-0.183,-0.143,-0.187
"41",2012-10-28 06:45:00,-0.144,-0.138,-0.128,-0.16,-0.149,-0.142,-0.107,-0.161,-0.149,-0.136,-0.147,-0.129,-0.157,-0.134,-0.151,-0.136,-0.164,-0.117,-0.142,-0.103,-0.145
"42",2012-10-28 06:55:00,-0.097,-0.088,-0.08,-0.108,-0.102,-0.091,-0.057,-0.116,-0.101,-0.096,-0.103,-0.084,-0.108,-0.089,-0.104,-0.088,-0.115,-0.069,-0.096,-0.056,-0.095
"43",2012-10-28 07:05:00,-0.041,-0.03,-0.023,-0.049,-0.044,-0.032,0,-0.063,-0.045,-0.046,-0.049,-0.029,-0.054,-0.036,-0.049,-0.032,-0.057,-0.014,-0.04,-0.001,-0.038
"44",2012-10-28 07:15:00,0.022,0.037,0.043,0.017,0.022,0.034,0.065,-0.001,0.019,0.013,0.013,0.033,0.008,0.025,0.014,0.033,0.009,0.048,0.024,0.062,0.028
"45",2012-10-28 07:25:00,0.094,0.108,0.114,0.09,0.095,0.108,0.136,0.069,0.088,0.077,0.08,0.101,0.077,0.096,0.083,0.103,0.081,0.118,0.093,0.129,0.099
"46",2012-10-28 07:35:00,0.168,0.181,0.186,0.164,0.168,0.184,0.209,0.144,0.159,0.143,0.15,0.176,0.151,0.169,0.154,0.175,0.153,0.19,0.165,0.199,0.171
"47",2012-10-28 07:45:00,0.243,0.257,0.264,0.242,0.245,0.261,0.282,0.219,0.231,0.213,0.222,0.25,0.226,0.243,0.227,0.25,0.229,0.262,0.238,0.27,0.247
"48",2012-10-28 07:55:00,0.32,0.333,0.344,0.322,0.326,0.341,0.356,0.296,0.305,0.288,0.296,0.326,0.3,0.321,0.301,0.327,0.309,0.337,0.314,0.344,0.327
"49",2012-10-28 08:05:00,0.4,0.412,0.425,0.403,0.408,0.421,0.432,0.379,0.383,0.366,0.373,0.405,0.378,0.401,0.379,0.406,0.389,0.415,0.394,0.42,0.408
"50",2012-10-28 08:15:00,0.478,0.491,0.506,0.483,0.489,0.499,0.508,0.46,0.46,0.443,0.451,0.483,0.457,0.482,0.458,0.483,0.468,0.493,0.471,0.493,0.487
"51",2012-10-28 08:25:00,0.556,0.565,0.584,0.56,0.566,0.577,0.581,0.539,0.536,0.519,0.526,0.56,0.534,0.56,0.533,0.557,0.545,0.568,0.545,0.563,0.563
"52",2012-10-28 08:35:00,0.63,0.636,0.658,0.635,0.642,0.649,0.651,0.615,0.61,0.591,0.597,0.634,0.609,0.635,0.606,0.629,0.62,0.641,0.615,0.631,0.636
"53",2012-10-28 08:45:00,0.701,0.707,0.733,0.708,0.717,0.72,0.718,0.689,0.683,0.662,0.666,0.705,0.682,0.709,0.677,0.7,0.694,0.711,0.687,0.698,0.71
"54",2012-10-28 08:55:00,0.77,0.777,0.805,0.779,0.79,0.789,0.784,0.762,0.754,0.732,0.735,0.774,0.752,0.78,0.748,0.77,0.767,0.78,0.756,0.765,0.781
"55",2012-10-28 09:05:00,0.839,0.843,0.874,0.849,0.861,0.858,0.849,0.833,0.825,0.802,0.805,0.843,0.822,0.852,0.82,0.839,0.838,0.848,0.825,0.831,0.85
"56",2012-10-28 09:15:00,0.902,0.907,0.939,0.914,0.926,0.922,0.911,0.899,0.893,0.867,0.871,0.908,0.89,0.916,0.886,0.904,0.903,0.913,0.888,0.894,0.915
"57",2012-10-28 09:25:00,0.965,0.969,1.001,0.976,0.991,0.983,0.972,0.963,0.959,0.932,0.935,0.97,0.954,0.98,0.95,0.968,0.966,0.973,0.95,0.956,0.98
"58",2012-10-28 09:35:00,1.026,1.028,1.062,1.038,1.054,1.042,1.031,1.025,1.021,0.997,0.997,1.03,1.016,1.041,1.012,1.03,1.028,1.03,1.011,1.017,1.042
"59",2012-10-28 09:45:00,1.083,1.085,1.118,1.095,1.112,1.098,1.086,1.084,1.081,1.06,1.056,1.088,1.072,1.098,1.071,1.087,1.087,1.085,1.07,1.074,1.099
"60",2012-10-28 09:55:00,1.136,1.135,1.169,1.146,1.165,1.148,1.138,1.137,1.138,1.117,1.109,1.14,1.125,1.152,1.126,1.14,1.139,1.136,1.123,1.125,1.151
"61",2012-10-28 10:05:00,1.183,1.18,1.213,1.19,1.211,1.191,1.184,1.182,1.187,1.167,1.156,1.185,1.173,1.199,1.174,1.186,1.185,1.181,1.17,1.17,1.196
"62",2012-10-28 10:15:00,1.222,1.219,1.252,1.229,1.252,1.228,1.226,1.223,1.229,1.214,1.198,1.224,1.213,1.239,1.216,1.227,1.226,1.218,1.213,1.212,1.238
"63",2012-10-28 10:25:00,1.258,1.255,1.288,1.264,1.29,1.262,1.263,1.26,1.268,1.258,1.237,1.259,1.248,1.276,1.255,1.265,1.263,1.254,1.252,1.251,1.274
"64",2012-10-28 10:35:00,1.29,1.283,1.316,1.293,1.321,1.29,1.296,1.291,1.303,1.294,1.27,1.288,1.28,1.308,1.29,1.298,1.294,1.286,1.285,1.284,1.304
"65",2012-10-28 10:45:00,1.316,1.305,1.338,1.316,1.345,1.311,1.323,1.316,1.33,1.323,1.298,1.311,1.309,1.334,1.318,1.323,1.318,1.31,1.31,1.31,1.328
"66",2012-10-28 10:55:00,1.336,1.326,1.357,1.336,1.365,1.328,1.345,1.334,1.352,1.347,1.321,1.328,1.33,1.353,1.34,1.345,1.34,1.328,1.333,1.334,1.349
"67",2012-10-28 11:05:00,1.354,1.343,1.372,1.353,1.383,1.344,1.365,1.35,1.374,1.37,1.341,1.344,1.348,1.369,1.359,1.367,1.36,1.344,1.355,1.357,1.369
"68",2012-10-28 11:15:00,1.371,1.36,1.387,1.369,1.397,1.358,1.386,1.365,1.394,1.389,1.361,1.359,1.366,1.385,1.379,1.386,1.378,1.36,1.376,1.377,1.385
"69",2012-10-28 11:25:00,1.388,1.376,1.401,1.385,1.413,1.372,1.406,1.38,1.413,1.404,1.379,1.373,1.386,1.399,1.398,1.403,1.394,1.374,1.395,1.397,1.402
"70",2012-10-28 11:35:00,1.402,1.391,1.413,1.399,1.426,1.387,1.422,1.393,1.427,1.418,1.395,1.387,1.402,1.413,1.413,1.417,1.407,1.387,1.41,1.415,1.417
"71",2012-10-28 11:45:00,1.416,1.409,1.423,1.415,1.438,1.4,1.439,1.404,1.439,1.433,1.411,1.398,1.415,1.425,1.428,1.433,1.421,1.4,1.425,1.434,1.432
"72",2012-10-28 11:55:00,1.431,1.421,1.435,1.427,1.449,1.413,1.455,1.417,1.453,1.449,1.424,1.409,1.427,1.437,1.444,1.447,1.435,1.41,1.44,1.45,1.444
"73",2012-10-28 12:05:00,1.443,1.431,1.444,1.436,1.458,1.42,1.467,1.427,1.462,1.458,1.435,1.419,1.441,1.447,1.453,1.455,1.443,1.419,1.453,1.463,1.452
"74",2012-10-28 12:15:00,1.448,1.436,1.448,1.444,1.463,1.425,1.474,1.432,1.467,1.46,1.444,1.424,1.45,1.452,1.46,1.459,1.448,1.426,1.46,1.473,1.459
"75",2012-10-28 12:25:00,1.451,1.442,1.451,1.448,1.465,1.428,1.475,1.435,1.469,1.463,1.444,1.425,1.453,1.453,1.463,1.461,1.451,1.426,1.463,1.476,1.462
"76",2012-10-28 12:35:00,1.447,1.44,1.447,1.444,1.461,1.424,1.47,1.434,1.462,1.459,1.44,1.42,1.452,1.449,1.456,1.455,1.447,1.421,1.46,1.472,1.457
"77",2012-10-28 12:45:00,1.437,1.432,1.439,1.436,1.453,1.416,1.46,1.427,1.451,1.446,1.432,1.412,1.445,1.439,1.444,1.443,1.438,1.413,1.451,1.463,1.446
"78",2012-10-28 12:55:00,1.423,1.417,1.424,1.422,1.438,1.4,1.443,1.413,1.433,1.426,1.416,1.399,1.435,1.425,1.429,1.425,1.426,1.398,1.437,1.446,1.43
"79",2012-10-28 13:05:00,1.4,1.397,1.404,1.403,1.418,1.378,1.42,1.393,1.409,1.399,1.394,1.379,1.416,1.404,1.406,1.401,1.406,1.375,1.417,1.423,1.408
"80",2012-10-28 13:15:00,1.371,1.374,1.379,1.376,1.387,1.349,1.39,1.366,1.377,1.367,1.364,1.35,1.39,1.376,1.377,1.37,1.379,1.344,1.391,1.393,1.378
